Date,TCS,INFY,SUNPHARMA,DRREDDY,RELIANCE,ONGC,HDFCBANK,SBI,HUL,ITC,BTC
2021-02-24,,,,,,,,,,,
2021-02-25,,,,,,,,,,,
2021-02-26,,,,,,,,,,,
2021-02-27,,,,,,,,,,,
2021-02-28,,,,,,,,,,,
2021-03-01,,,,,,,,,,,
2021-03-02,,,,,,,,,,,
2021-03-03,,,,,,,,,,,
2021-03-04,,,,,,,,,,,
2021-03-05,,,,,,,,,,,
2021-03-06,,,,,,,,,,,
2021-03-07,,,,,,,,,,,
2021-03-08,,,,,,,,,,,
2021-03-09,,,,,,,,,,,
2021-03-10,,,,,,,,,,,
2021-03-11,,,,,,,,,,,
2021-03-12,,,,,,,,,,,
2021-03-13,,,,,,,,,,,
2021-03-14,,,,,,,,,,,
2021-03-15,,,,,,,,,,,
2021-03-16,,,,,,,,,,,
2021-03-17,,,,,,,,,,,
2021-03-18,,,,,,,,,,,
2021-03-19,,,,,,,,,,,
2021-03-20,,,,,,,,,,,
2021-03-21,,,,,,,,,,,
2021-03-22,,,,,,,,,,,
2021-03-23,,,,,,,,,,,
2021-03-24,,,,,,,,,,,
2021-03-25,0.5826515117946306,0.21484922359503297,0.2646413939063823,0.20813515804625318,0.20925524837792375,0.20583273593053836,0.38707386483048106,0.28239409858715026,0.2642023116999703,0.20641595044041255,0.20991819890561056
2021-03-26,0.608649471544274,0.2123297797381656,0.22576720740351264,0.23100449168291878,0.2088152729302682,0.2060910809574844,0.38488133176335915,0.27675679488060884,0.2500197742161101,0.21521116036795732,0.20694432092308254
2021-03-27,0.5844530021253548,0.21011037472654054,0.22577015853951043,0.22944660501887426,0.2088273464597378,0.20606589840961423,0.3543986180065944,0.2484545692893691,0.24954430098091224,0.21100499905767572,0.2022963669264061
2021-03-28,0.5810991337489209,0.20727258183110497,0.18456857365292037,0.22397030215749253,0.2015204030449498,0.1908496744578158,0.2961304579549562,0.23666122076110765,0.2213784991775795,0.19880541611443664,0.172887890977188
2021-03-29,0.5849136951929578,0.20727258183110497,0.18456857365292037,0.22397030215749253,0.2015204030449498,0.1908496744578158,0.2961304579549562,0.23666122076110765,0.2213784991775795,0.19880541611443664,0.172887890977188
2021-03-30,0.5787051210683768,0.21986678714756563,0.22103446945384955,0.24161422486845205,0.2240773696381233,0.19636382083510662,0.2985823537290106,0.2427877425149983,0.22442304432847082,0.20564725619027596,0.19026545834960829
2021-03-31,0.5183387937847688,0.21929632908872318,0.2443193715456349,0.24320208003139435,0.22747939086635338,0.1985708947791644,0.24944384339155684,0.24384799230408846,0.22306433845451942,0.19979408414494268,0.1892413643279729
2021-04-01,0.5099065778584234,0.22083970722114138,0.24346744222098027,0.2457374724803208,0.21532439229702946,0.1956521803394349,0.24748516898737816,0.24569694521899588,0.23046094596589767,0.20423056067591008,0.1747083582958094
2021-04-02,0.4976987625812143,0.21202205577284752,0.24011677879080542,0.2456236939014575,0.1989428882559625,0.19566753559844993,0.24670099669853007,0.20355528690195157,0.2133622821973989,0.1981019762242629,0.16829874590701416
2021-04-03,0.4909247061741808,0.2069672898884392,0.23254677531461407,0.24574345285463478,0.1962863555407016,0.19555201794328447,0.24549523916395302,0.20183341340325314,0.20440185562674626,0.19666638973589742,0.16786524179090023
2021-04-04,0.49262073934191564,0.1995731720938329,0.22933783096108565,0.2458749908299846,0.1932143763291526,0.1944623503051713,0.2363844019721139,0.20165734298449273,0.18554506279962155,0.19326005417863049,0.1618183289568057
2021-04-05,0.4922590838233728,0.200746906272731,0.23990481570790326,0.24896947533803834,0.198586325721174,0.22134880470555,0.23669048133088677,0.2044963434769075,0.22852545729344179,0.19347864930293582,0.17314732964093782
2021-04-06,0.48115217064118937,0.20433707617337113,0.24021592915053597,0.2513089123841295,0.19851904429779932,0.2213413074502823,0.2377227318620965,0.2043262142711027,0.228977116641159,0.20123459274182068,0.1736920224270836
2021-04-07,0.4934995630844541,0.20877227076354227,0.24054739508442077,0.2475677232980116,0.1980684260586545,0.22152839129573504,0.22033827574928289,0.20594751364775168,0.23485515412679775,0.2005979094316199,0.1734589138666764
2021-04-08,0.48730519910063547,0.2061505577271436,0.22467406699683903,0.24654221462024672,0.1979464471401468,0.22169661230806312,0.21955458097458988,0.2061396041347039,0.2353023243725707,0.20299919917075507,0.17312710097676196
2021-04-09,0.48391895769605986,0.20781661077462252,0.22508161456169506,0.25461399635086635,0.19320017160228287,0.22072360702107569,0.21457220276929767,0.20767144101074203,0.23545415587685437,0.21978277417157766,0.1727970726328984
2021-04-10,0.48125729712406123,0.20781661077462252,0.22508161456169506,0.25461399635086635,0.19320017160228287,0.22072360702107569,0.21457220276929767,0.20767144101074203,0.23545415587685437,0.21978277417157766,0.1727970726328984
2021-04-11,0.4806972413336906,0.20046852782070237,0.22524572158888292,0.25142615381881234,0.1930257333744711,0.21964901708658413,0.21315212090048768,0.20120630846553528,0.2317845761353423,0.2109806913499597,0.1717670965621316
2021-04-12,0.4404669382752774,0.2406595799515847,0.24834192117422485,0.2527179413885855,0.19623154443562113,0.246458496275947,0.2632817409774186,0.22368613018060113,0.30457303928690493,0.22705852801270973,0.18727932110250897
2021-04-13,0.4621174171806351,0.27937009219780495,0.2613575284587632,0.2532672710359106,0.20587047875765144,0.25100480258225305,0.2940259491299977,0.22738258360693367,0.3269875674465178,0.2299343572351994,0.23141537952795602
2021-04-14,0.4251933048788034,0.27181397331938484,0.2591404994338427,0.2534708197682529,0.20583184284352607,0.25100205022236494,0.29417806322466433,0.2255102628651143,0.32552758817624716,0.22608294524427106,0.23132638342410902
2021-04-15,0.4236977868516451,0.26641359541852255,0.267011364721595,0.2511518740304359,0.21892604158757403,0.25039588661404355,0.3083244797279636,0.22710803985505826,0.3250720309657711,0.2264235559751465,0.25087174544823115
2021-04-16,0.4219160951539754,0.2569920283595304,0.26555181642376774,0.24926402365459363,0.21916114887179994,0.24794193180443994,0.27975077284321453,0.2200579716836928,0.31707091951309263,0.2121257375848287,0.25209912870770845
2021-04-17,0.4209080171532494,0.23189269099597723,0.26555332398454673,0.24823479224904896,0.19102858977942747,0.22693176020505704,0.2786345843159911,0.2111627020449148,0.3171637107588885,0.20297885696719545,0.24005573810930597
2021-04-18,0.4771017299901321,0.2305151077466169,0.26503017337191337,0.2185533685650645,0.19042421967033513,0.21369353376941688,0.27844003728750544,0.17993288282917214,0.31467842199009627,0.20313152031470713,0.23995333356189483
2021-04-19,0.4775957877759345,0.23212933882282538,0.2665114621457607,0.2208708046953409,0.19128033174039516,0.21515422536651002,0.3009330376842747,0.18385341832644134,0.3215696523877825,0.20589526583950227,0.242455438999737
2021-04-20,0.47804539915339456,0.24960903513869798,0.2690828415286926,0.2269066202787697,0.19293618541125554,0.21601976550026677,0.3008551796768629,0.18381404612635452,0.32138239872699015,0.20588642767360454,0.243207590364967
