Date,TCS,INFY,SUNPHARMA,DRREDDY,RELIANCE,ONGC,HDFCBANK,SBI,HUL,ITC,BTC
2021-02-23,48824.42578125,871.21142578125,724.186767578125,2004.0499267578125,1114.7935791015625,163.90435791015625,82.12100219726562,917.4954223632812,365.02667236328125,574.9351806640625,2619.8251953125
2021-02-24,49705.33203125,859.6602783203125,760.7951049804688,2003.6822509765625,1121.7923583984375,164.1794891357422,83.14567565917969,934.5218505859375,374.8536376953125,572.46044921875,2591.60693359375
2021-02-25,47093.8515625,868.3043212890625,760.7714233398438,1989.38232421875,1122.0123291015625,164.4153289794922,87.13463592529297,972.3153076171875,375.7763366699219,580.1699829101562,2633.099365234375
2021-02-26,46339.76171875,857.9159545898438,726.673095703125,1960.64453125,1103.305419921875,160.24893188476562,81.24269104003906,945.7669677734375,359.99786376953125,565.9406127929688,2544.312255859375
2021-02-27,46188.453125,857.9159545898438,726.673095703125,1960.64453125,1103.305419921875,160.24893188476562,81.24269104003906,945.7669677734375,359.99786376953125,565.9406127929688,2544.312255859375
2021-02-28,45137.76953125,857.9159545898438,726.673095703125,1960.64453125,1103.305419921875,160.24893188476562,81.24269104003906,945.7669677734375,359.99786376953125,565.9406127929688,2544.312255859375
2021-03-01,49631.2421875,863.119873046875,738.2760620117188,1971.082275390625,1115.3658447265625,162.64657592773438,85.67079162597656,952.9765014648438,364.42694091796875,575.3158569335938,2570.59716796875
2021-03-02,48378.98828125,853.6812744140625,742.680419921875,2002.8546142578125,1148.3778076171875,165.0049285888672,83.0724868774414,954.9262084960938,363.7348937988281,584.595947265625,2642.81298828125
2021-03-03,50538.2421875,872.6456909179688,751.5128173828125,2017.1546630859375,1182.7545166015625,165.04425048828125,83.43844604492188,998.5009765625,373.746337890625,594.2566528320312,2689.1845703125
2021-03-04,48561.16796875,886.697021484375,735.0320434570312,2020.281005859375,1171.13427734375,164.84767150878906,82.48695373535156,986.5984497070312,365.07281494140625,589.116943359375,2680.9208984375
2021-03-05,48927.3046875,870.6979370117188,724.5894165039062,2024.1436767578125,1159.11767578125,163.9436798095703,84.13375854492188,987.890625,354.0002136230469,581.7406005859375,2644.307373046875
2021-03-06,48912.3828125,870.6979370117188,724.5894165039062,2024.1436767578125,1159.11767578125,163.9436798095703,84.13375854492188,987.890625,354.0002136230469,581.7406005859375,2644.307373046875
2021-03-07,51206.69140625,870.6979370117188,724.5894165039062,2024.1436767578125,1159.11767578125,163.9436798095703,84.13375854492188,987.890625,354.0002136230469,581.7406005859375,2644.307373046875
2021-03-08,52246.5234375,870.6494140625,719.61669921875,1999.728271484375,1175.8878173828125,163.51132202148438,86.54907989501953,993.5133056640625,359.49041748046875,585.1669311523438,2643.340087890625
2021-03-09,54824.1171875,862.1314086914062,739.9808959960938,2021.75244140625,1184.514892578125,163.3540802001953,85.45122528076172,993.4905395507812,357.64495849609375,583.0730590820312,2682.02001953125
2021-03-10,56008.55078125,872.22900390625,736.7842407226562,2048.743408203125,1204.4102783203125,162.3321533203125,83.73120880126953,989.3643188476562,357.73724365234375,595.8271484375,2699.601318359375
2021-03-11,57805.12109375,872.22900390625,736.7842407226562,2048.743408203125,1204.4102783203125,162.3321533203125,83.73120880126953,989.3643188476562,357.73724365234375,595.8271484375,2699.601318359375
2021-03-12,57332.08984375,857.90625,734.9845581054688,2027.500244140625,1210.308349609375,161.31021118164062,84.20696258544922,969.2546997070312,351.64727783203125,584.0248413085938,2688.17333984375
2021-03-13,61243.0859375,857.90625,734.9845581054688,2027.500244140625,1210.308349609375,161.31021118164062,84.20696258544922,969.2546997070312,351.64727783203125,584.0248413085938,2688.17333984375
2021-03-14,59302.31640625,857.90625,734.9845581054688,2027.500244140625,1210.308349609375,161.31021118164062,84.20696258544922,969.2546997070312,351.64727783203125,584.0248413085938,2688.17333984375
